n_present,n_absent,mean_present,mean_absent,median_present,median_absent,mannwhitney_u,mannwhitney_p,rank_biserial,pointbiserial_r,pointbiserial_p,cohens_d,code,theme,outcome,mw_p_fdr
7,160,352.1508891428571,617.76573638125,304.436111,547.231158,274.0,0.02023760191161241,0.5107142857142857,-0.1523065914183037,0.049422254416658096,-0.7643749905303663,AFF,Confidence / affect,solve time (raw),0.03710227017128942
83,84,-10.70205807630522,10.574652623015885,0.0,-6.991177333333283,3488.0,0.9961690841578525,-0.0005737234652898326,-0.06738793766645758,0.38688109415904115,-0.13427403024037787,FOOT,Starting footholds / forced lines,solve time (within-participant),0.9961690841578524
38,129,-4.346148627192979,1.28026083591732,-10.974114833333346,-0.8669403333332752,2399.0,0.8441445700688952,0.021215830273357827,-0.014942283639148702,0.8480107175333416,-0.035430641737765514,CLUE,Clue magnitude,solve time (within-participant),0.9780154134058332
25,142,-81.84038968666665,14.408519311032872,-56.66863533333333,0.0,1346.0,0.054586316855649,0.24169014084507046,-0.21752490100021044,0.004745479969960791,-0.620898801936785,PROP,Constraint propagation / chaining,solve time (within-participant),0.30022474270606947
22,145,60.458334106060605,-9.172988622988498,49.28862500000005,-10.852189666666618,2069.0,0.02504799683324444,-0.29717868338557984,0.14917600572306802,0.054344618165615796,0.4433949080215526,AMBIG,Combinatorial ambiguity / overlap reasoning,solve time (within-participant),0.27552796516568884
26,141,47.8429364102564,-8.822101749408972,-6.869528000000059,-0.8669403333332752,1988.0,0.4952394199686706,-0.0845608292416804,0.13013988050897426,0.09368284001876731,0.3598517098542627,GUESS,Guessing / certainty,solve time (within-participant),0.8010190847828161
24,143,15.14700893055557,-2.542155344988337,-0.7819085000000427,-9.772990666666658,1861.0,0.5097394175890648,-0.08449883449883444,0.03930790904850714,0.6140155916938731,0.11146596669257464,HINT,Hint usage,solve time (within-participant),0.8010190847828161
12,155,9.787963611111133,-0.7577778279569796,-28.245911833333253,-0.8669403333332752,907.0,0.8891049212780302,0.02473118279569897,0.01725172707583174,0.8248717619232165,0.06641114254399293,ERR,Mistakes / error recovery,solve time (within-participant),0.9780154134058332
42,125,-18.761608726190467,6.303900532000008,-14.753030833333327,-1.5638170000000855,2284.0,0.20911652169499018,0.12990476190476186,-0.0688898393681493,0.37636279682892343,-0.1582008165451035,LEARN,Learning / practice / fatigue,solve time (within-participant),0.7667605795482973
7,160,66.3173015714286,-2.9013819437499895,51.22236166666676,-2.5743719999999826,695.0,0.28275547006753454,-0.2410714285714286,0.08786811994446403,0.2588290120160141,0.4375277347649211,LOAD,Cognitive load / tracking,solve time (within-participant),0.77757754268572
14,153,-27.82846759523807,2.5463957276688536,-25.199336666666653,-0.8669403333332752,928.0,0.41055439101814384,0.13352007469654525,-0.05332404097038737,0.4937163944753464,-0.19152781556298928,VIS,Visual / spatial layout,solve time (within-participant),0.8010190847828161
7,160,6.482103857142879,-0.2835920437499951,20.184031000000004,-2.5743719999999826,597.0,0.7706705130222132,-0.06607142857142856,0.0085885623467118,0.9122847953002579,0.04260177429262049,AFF,Confidence / affect,solve time (within-participant),0.9780154134058332
83,84,1.9879518072289157,4.404761904761905,0.0,3.0,2236.0,3.3290413794156785e-05,0.35857716580608145,-0.27591749194480253,0.00030717025904276413,-0.5706836475462345,FOOT,Starting footholds / forced lines,hints used (raw),0.0003661945517357246
38,129,2.789473684210526,3.3255813953488373,1.0,1.0,2293.5,0.5340527410007565,0.06425948592411257,-0.05132119085071846,0.5101084578674322,-0.12183805862920098,CLUE,Clue magnitude,hints used (raw),0.5340527410007565
25,142,1.44,3.5140845070422535,0.0,2.0,1182.5,0.005864029451439249,0.33380281690140845,-0.16896573492946507,0.0290477738155901,-0.47761099577895955,PROP,Constraint propagation / chaining,hints used (raw),0.03225216198291587
22,145,1.8181818181818181,3.413793103448276,0.0,2.0,1272.5,0.1138877722132119,0.20219435736677116,-0.12321978835802543,0.11263902472945644,-0.36492833185236795,AMBIG,Combinatorial ambiguity / overlap reasoning,hints used (raw),0.13919616603837012
26,141,4.961538461538462,2.879432624113475,4.5,1.0,2402.0,0.009221869886891823,-0.3104200763775231,0.17236816164373434,0.025916814378187464,0.4797449641467552,GUESS,Guessing / certainty,hints used (raw),0.03381352291860335
24,143,3.5833333333333335,3.13986013986014,3.0,1.0,2115.5,0.05893441705881719,-0.23280885780885785,0.035522132554428675,0.6485747063244596,0.10071630232507313,HINT,Hint usage,hints used (raw),0.09261122680671273
12,155,2.75,3.238709677419355,2.5,1.0,1042.5,0.47143445145850715,-0.12096774193548376,-0.028818105625327717,0.7116122623247868,-0.11096590934156383,ERR,Mistakes / error recovery,hints used (raw),0.5185778966043578
42,125,4.976190476190476,2.608,2.5,1.0,3169.5,0.037343271988483445,-0.20742857142857152,0.23461420294411345,0.00227455610198166,0.5529285586965441,LEARN,Learning / practice / fatigue,hints used (raw),0.08215519837466359
7,160,1.4285714285714286,3.28125,0.0,2.0,331.5,0.05886063932064707,0.4080357142857143,-0.08477486510985852,0.2760364339179457,-0.42201173486735544,LOAD,Cognitive load / tracking,hints used (raw),0.09261122680671273
14,153,1.2142857142857142,3.3856209150326797,0.0,2.0,653.5,0.012470675578697063,0.3898225957049486,-0.13740249661743484,0.07661008775981615,-0.49753531389783,VIS,Visual / spatial layout,hints used (raw),0.03429435784141692
7,160,0.8571428571428571,3.30625,0.0,2.0,347.5,0.07897661937270796,0.3794642857142857,-0.11206624337173099,0.1493352044050028,-0.559384460778082,AFF,Confidence / affect,hints used (raw),0.10859285163747344
83,84,-0.17269076305220885,0.1706349206349207,0.0,0.0,3237.5,0.4124443658435917,0.071285140562249,-0.09884509938333969,0.2037710946435472,-0.19747344316552115,FOOT,Starting footholds / forced lines,hints used (within-participant),0.7587414909156611
38,129,-0.25000000000000006,0.0736434108527132,0.0,0.0,2312.5,0.5865084328062682,0.05650754793961643,-0.07813103592800712,0.3155584215733733,-0.18580900840901518,CLUE,Clue magnitude,hints used (within-participant),0.7587414909156611
25,142,-0.34666666666666673,0.06103286384976528,0.0,0.0,1505.5,0.21281828268310699,0.15183098591549293,-0.08375766228637936,0.28186018128685636,-0.23417434289397884,PROP,Constraint propagation / chaining,hints used (within-participant),0.5852502773785442
22,145,0.49242424242424243,-0.07471264367816091,0.0,0.0,1914.0,0.11967973875083461,-0.19999999999999996,0.11044686561708335,0.15534038382105694,0.3266054468187437,AMBIG,Combinatorial ambiguity / overlap reasoning,hints used (within-participant),0.5852502773785442
26,141,0.5705128205128204,-0.10520094562647751,0.0,0.0,2137.5,0.16590001978823166,-0.16612111292962362,0.14106821034175743,0.06900073715998732,0.390659142677521,GUESS,Guessing / certainty,hints used (within-participant),0.5852502773785442
24,143,0.17361111111111108,-0.029137529137529147,0.0,0.0,1875.5,0.453887925280552,-0.09294871794871784,0.040954511440761,0.5992395968500923,0.11614294613016682,HINT,Hint usage,hints used (within-participant),0.7587414909156611
12,155,-0.0833333333333332,0.006451612903225824,0.0,0.0,986.0,0.7225057224484588,-0.06021505376344094,-0.013351503030118127,0.8640262951416858,-0.05139402209796418,ERR,Mistakes / error recovery,hints used (within-participant),0.7947562946933047
42,125,-0.40873015873015867,0.1373333333333333,0.0,0.0,2119.5,0.054446011950324925,0.19257142857142862,-0.13642468302024366,0.07875050062172216,-0.3154954279855199,LEARN,Learning / practice / fatigue,hints used (within-participant),0.5852502773785442
7,160,0.1904761904761904,-0.008333333333333318,0.0,0.0,620.5,0.620788492567359,-0.10803571428571423,0.022941211883256405,0.7685456384998843,0.11382086109798276,LOAD,Cognitive load / tracking,hints used (within-participant),0.7587414909156611
14,153,-0.02380952380952378,0.002178649237472768,0.0,0.0,1090.5,0.9098045596791561,-0.0182072829131652,-0.004147206330624667,0.9575794034071461,-0.014874756054581127,VIS,Visual / spatial layout,hints used (within-participant),0.9098045596791561
