participant_id,skill_nonogram,skill_puzzles,played_before_ord,puzzle_played_frequency_ord,n_nonogram_sizes,n_logic_puzzles,z_skill_nonogram,z_skill_puzzles,z_played_before_ord,z_puzzle_played_frequency_ord,z_n_nonogram_sizes,z_n_logic_puzzles,exp_zmean,exp_zmean_z,exp_pca,exp_fa,expertise_tier
P016,9,8,2,2,3,3,1.688055486968471,1.1818623110984425,1.2751534261266766,0.7018712458648384,1.7846370641156792,0.8939499510240987,1.254254914199701,1.6831840262634397,1.6867220709188326,1.7221814708308516,expert
P017,1,4,0,1,1,2,-1.3326753844487929,-0.7664198017426261,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-0.2530047031200281,-0.734089749688434,-0.9851331866677996,-1.0257954806390635,-1.2111021209936619,novice
P018,3,8,0,1,0,3,-0.5774926665944768,1.1818623110984425,-0.8926073982886735,-0.5880542870759455,-1.7499839172396467,0.8939499510240987,-0.2887210011793669,-0.3874575827689541,-0.41223783467606484,-0.47438861009539,intermediate
P019,8,6,3,2,3,2,1.310464128041313,0.20772125467790817,2.359033838334352,0.7018712458648384,1.7846370641156792,-0.2530047031200281,1.0184538046523437,1.3667438381709305,1.4204928650102173,1.456380864496665,expert
P020,7,9,2,2,2,3,0.9328727691141551,1.6689328393087095,1.2751534261266766,0.7018712458648384,0.6064300703305705,0.8939499510240987,1.0132017169615082,1.3596956456498832,1.3644137386447037,1.237607092664782,expert
P021,1,1,0,1,1,1,-1.3326753844487929,-2.2276313863734276,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-1.3999593572641549,-1.1687841228175888,-1.5684840006643688,-1.5648080759368046,-1.5203799780908556,novice
P022,6,6,1,1,2,2,0.5552814101869971,0.20772125467790817,0.1912730139190015,-0.5880542870759455,0.6064300703305705,-0.2530047031200281,0.11994112648641726,0.16095849887324953,0.1932758414327381,0.3922117184824692,intermediate
P023,1,2,0,0,1,1,-1.3326753844487929,-1.7405608581631604,-0.8926073982886735,-1.8779798200167295,-0.5717769234545381,-1.3999593572641549,-1.302593290272675,-1.748053122282457,-1.7257232969922098,-1.5570152284293939,novice
P024,1,5,0,1,1,3,-1.3326753844487929,-0.27934927353235894,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,0.8939499510240987,-0.46175221929603505,-0.6196618811788303,-0.713909102810483,-1.0650764424763757,novice
P025,8,8,2,2,1,3,1.310464128041313,1.1818623110984425,1.2751534261266766,0.7018712458648384,-0.5717769234545381,0.8939499510240987,0.7985873564501386,1.0716876344156017,1.112619226105954,1.2737880598941664,expert
P026,1,7,0,2,1,1,-1.3326753844487929,0.6947917828881753,-0.8926073982886735,0.7018712458648384,-0.5717769234545381,-1.3999593572641549,-0.46672600578385764,-0.6263365992696815,-0.6089510937393368,-0.9123621027226421,novice
P027,6,6,2,1,3,3,0.5552814101869971,0.20772125467790817,1.2751534261266766,-0.5880542870759455,1.7846370641156792,0.8939499510240987,0.6881148031759023,0.9234357639970774,0.8874774864551463,0.7566604286470915,expert
P028,1,1,0,1,1,1,-1.3326753844487929,-2.2276313863734276,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-1.3999593572641549,-1.1687841228175888,-1.5684840006643688,-1.5648080759368046,-1.5203799780908556,novice
P029,8,8,2,2,3,3,1.310464128041313,1.1818623110984425,1.2751534261266766,0.7018712458648384,1.7846370641156792,0.8939499510240987,1.1913230210451748,1.5987307336344816,1.587508725183986,1.4941789628390647,expert
P030,3,3,1,1,1,1,-0.5774926665944768,-1.2534903299528932,0.1912730139190015,-0.5880542870759455,-0.5717769234545381,-1.3999593572641549,-0.6999167584038345,-0.9392737426196341,-0.8808215406085587,-0.7112691140625343,novice
P031,1,5,0,2,1,3,-1.3326753844487929,-0.27934927353235894,-0.8926073982886735,0.7018712458648384,-0.5717769234545381,0.8939499510240987,-0.24676463047257102,-0.3311530053069423,-0.43943077302049743,-0.9468151028478837,intermediate
P032,5,7,1,1,1,2,0.17769005125983908,0.6947917828881753,0.1912730139190015,-0.5880542870759455,-0.5717769234545381,-0.2530047031200281,-0.058180177597249326,-0.07807658911134882,-0.029819145106544088,0.13563984830818684,intermediate
P033,2,6,1,2,2,3,-0.9550840255216348,0.20772125467790817,0.1912730139190015,0.7018712458648384,0.6064300703305705,0.8939499510240987,0.2743602517157971,0.36818575546447413,0.2692240573773375,-0.3371373846288538,expert
P034,7,7,2,2,3,2,0.9328727691141551,0.6947917828881753,1.2751534261266766,0.7018712458648384,1.7846370641156792,-0.2530047031200281,0.8560535974982494,1.148806135516554,1.176409001620559,1.1201507763299912,expert
P035,5,5,1,1,1,2,0.17769005125983908,-0.27934927353235894,0.1912730139190015,-0.5880542870759455,-0.5717769234545381,-0.2530047031200281,-0.22053702033400505,-0.2959560976189486,-0.2569453625757048,-0.027612330271720414,intermediate
P036,7,7,2,1,1,1,0.9328727691141551,0.6947917828881753,1.2751534261266766,-0.5880542870759455,-0.5717769234545381,-1.3999593572641549,0.05717123505572804,0.07672260919061644,0.22871790365854094,0.7170989445292684,intermediate
P037,9,9,3,3,3,3,1.688055486968471,1.6689328393087095,2.359033838334352,1.9917967788056223,1.7846370641156792,0.8939499510240987,1.7310676597594885,2.3230568206683455,2.33319713583279,2.1119225692141375,expert
P038,3,3,1,1,2,2,-0.5774926665944768,-1.2534903299528932,0.1912730139190015,-0.5880542870759455,0.6064300703305705,-0.2530047031200281,-0.31238981708229524,-0.41922064177502466,-0.4450535219755427,-0.5366740733627524,intermediate
P039,3,5,1,2,1,2,-0.5774926665944768,-0.27934927353235894,0.1912730139190015,0.7018712458648384,-0.5717769234545381,-0.2530047031200281,-0.13141321781959367,-0.17635380700497705,-0.18089372425541236,-0.3653560066268024,intermediate
P040,3,5,0,3,1,3,-0.5774926665944768,-0.27934927353235894,-0.8926073982886735,1.9917967788056223,-0.5717769234545381,0.8939499510240987,0.09408674465994561,0.12626245582286208,0.03347424823918136,-0.3725487472358181,intermediate
P041,9,8,2,2,3,3,1.688055486968471,1.1818623110984425,1.2751534261266766,0.7018712458648384,1.7846370641156792,0.8939499510240987,1.254254914199701,1.6831840262634397,1.6867220709188326,1.7221814708308516,expert
P042,2,3,0,1,1,1,-0.9550840255216348,-1.2534903299528932,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-1.3999593572641549,-0.9434953869263069,-1.266151199527811,-1.2384685127327972,-1.1291252915191616,novice
P043,5,5,1,1,2,1,0.17769005125983908,-0.27934927353235894,0.1912730139190015,-0.5880542870759455,0.6064300703305705,-1.3999593572641549,-0.21532829706050804,-0.28896609924467803,-0.2178238821306889,0.01818353197339587,intermediate
P044,3,5,1,1,1,3,-0.5774926665944768,-0.27934927353235894,0.1912730139190015,-0.5880542870759455,-0.5717769234545381,0.8939499510240987,-0.1552416976190365,-0.20833113164169545,-0.2570487849513979,-0.41921775702796144,intermediate
P045,4,6,0,1,1,1,-0.1999013076673189,0.20772125467790817,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-1.3999593572641549,-0.5740963365121204,-0.7704253515084947,-0.6993524950593631,-0.42824200766572684,novice
P046,5,6,0,1,1,2,0.17769005125983908,0.20772125467790817,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-0.2530047031200281,-0.320005334333573,-0.4294405076443669,-0.40181588023051645,-0.13583991044660712,intermediate
