n_present,n_absent,mean_present,mean_absent,median_present,median_absent,mannwhitney_u,mannwhitney_p,rank_biserial,pointbiserial_r,pointbiserial_p,cohens_d,code,strategy,outcome
22,45,3.136363636363637,3.3148148148148144,3.0,3.6666666666666665,418.5,0.30459088276986,0.15454545454545454,-0.09406009365716829,0.448985848386724,-0.19815799772558873,S_NEG,Negative marking (X-ing whites),mean difficulty rating
22,46,0.893939393939394,0.8478260869565217,1.0,1.0,523.5,0.7771647079357553,-0.03458498023715406,0.08604366675702074,0.4853803981808757,0.18187320098078485,S_NEG,Negative marking (X-ing whites),solve rate
12,55,3.0833333333333335,4.909090909090909,3.0,5.0,193.5,0.02473644493632756,0.4136363636363637,-0.2659371645789728,0.02961832668465472,-0.7086445518324326,S_TRIAL,Trial-and-error / contradiction,self-rated skill
12,54,723.0280336805555,673.311727558642,615.4831422499999,584.4494391666667,376.0,0.39188964380655045,-0.16049382716049387,0.05048476351436138,0.6872714765428187,0.1290591885506838,S_TRIAL,Trial-and-error / contradiction,mean solve time
12,55,3.5833333333333335,3.1848484848484837,3.6666666666666665,3.3333333333333335,415.5,0.1596443015211919,-0.25909090909090904,0.17149527935279618,0.16524768575972307,0.4471533788529881,S_TRIAL,Trial-and-error / contradiction,mean difficulty rating
12,56,0.9166666666666665,0.8511904761904763,1.0,1.0,358.5,0.6531005674552783,-0.06696428571428581,0.0995566844601995,0.4192319311312276,0.25856825927720806,S_TRIAL,Trial-and-error / contradiction,solve rate
11,56,3.5454545454545454,4.785714285714286,2.0,5.0,228.0,0.1742435251854776,0.2597402597402597,-0.17452874161491658,0.1577844543913293,-0.471289623999554,S_HINT,Hint-as-tool,self-rated skill
11,55,837.7399545757576,651.2732762181818,648.1151619999999,582.8511225,371.0,0.2420025025799235,-0.22644628099173558,0.18295862667352475,0.14145166259522093,0.4917341348211855,S_HINT,Hint-as-tool,mean solve time
11,56,2.9090909090909087,3.324404761904762,3.3333333333333335,3.583333333333333,248.0,0.30823211827632935,0.19480519480519476,-0.1726772655059235,0.16230937900154244,-0.46613547292501123,S_HINT,Hint-as-tool,mean difficulty rating
11,57,0.8484848484848485,0.8654970760233918,1.0,1.0,309.5,0.9409894200019859,0.012759170653907526,-0.02498603465978422,0.8397199501933001,-0.06686911871528316,S_HINT,Hint-as-tool,solve rate
