participant_id,puzzle_id,order,pause_count,time_to_solve_sec,total_time_spent_sec,check_count,error_count,percent_error,percent_incomplete,hint_count,initial_difficulty,final_difficulty,solved_flag,skill_nonogram,skill_puzzles,played_before_ord,puzzle_played_frequency_ord,n_nonogram_sizes,n_logic_puzzles,expertise_composite
Michael-p16,2,3,39,313.388742,313.389534,1,4,0.0,0.0,1,3,3.0,True,4,4,1,1,1,1,-0.7807400755132269
Michael-p17,2,1,59,608.498793,608.498793,2,18,0.0,0.0,3,3,3.0,True,5,6,1,1,1,1,-0.46928079203916173
Michael-p17,3,2,81,726.284185,726.284185,2,38,0.13,0.16,4,5,,False,5,6,1,1,1,1,-0.46928079203916173
Michael-p17,0,3,50,557.20438,557.204606,2,12,0.0,0.0,2,4,4.0,True,5,6,1,1,1,1,-0.46928079203916173
Michael-p18,3,1,71,588.891514,588.891514,1,40,0.0,0.0,5,5,5.0,True,2,4,0,1,1,3,-0.6752638184949368
Michael-p18,2,2,35,319.968314,319.968314,1,8,0.0,0.0,2,2,2.0,True,2,4,0,1,1,3,-0.6752638184949368
Michael-p18,1,3,48,468.121872,468.122904,1,27,0.0,0.0,3,2,2.0,True,2,4,0,1,1,3,-0.6752638184949368
Michael-p19,4,1,49,574.119004,574.119004,1,6,0.0,0.0,0,1,4.0,True,6,6,0,1,1,2,-0.36737988863464816
Michael-p19,1,2,30,306.747726,306.747726,1,5,0.0,0.0,0,1,3.0,True,6,6,0,1,1,2,-0.36737988863464816
Michael-p19,5,3,85,969.712072,969.713139,3,21,0.0,0.0,0,1,3.0,True,6,6,0,1,1,2,-0.36737988863464816
Michael-p2,1,1,37,304.436111,304.436111,1,6,0.0,0.0,1,3,4.0,True,2,6,1,2,2,3,0.3466199238779761
Michael-p2,5,2,30,245.213546,245.213546,1,0,0.0,0.0,1,2,3.0,True,2,6,1,2,2,3,0.3466199238779761
Michael-p2,2,3,32,303.106583,303.107588,1,0,0.0,0.0,0,2,2.0,True,2,6,1,2,2,3,0.3466199238779761
Michael-p20,0,1,40,568.06139,568.06139,1,16,0.0,0.0,4,4,4.0,True,1,5,0,1,1,1,-1.1674940026858378
Michael-p20,5,2,28,398.634259,398.634259,1,3,0.0,0.0,1,4,4.0,True,1,5,0,1,1,1,-1.1674940026858378
Michael-p20,1,3,28,368.558684,368.560851,1,13,0.02,0.0,1,4,4.0,True,1,5,0,1,1,1,-1.1674940026858378
Michael-p21,5,1,80,790.13127,790.13127,1,11,0.0,0.0,10,3,3.0,True,1,2,0,1,1,1,-1.5065211041568594
Michael-p21,3,2,88,855.19637,855.19637,1,17,0.01,0.0,8,4,4.0,True,1,2,0,1,1,1,-1.5065211041568594
Michael-p21,4,3,55,561.638074,561.638847,1,13,0.0,0.0,2,4,4.0,True,1,2,0,1,1,1,-1.5065211041568594
Michael-p3,2,1,39,484.410819,484.410819,1,8,0.0,0.0,0,2,2.0,True,7,7,2,2,3,2,1.1340663902219696
Michael-p3,0,2,49,748.89924,748.89924,1,8,0.0,0.0,5,4,4.0,True,7,7,2,2,3,2,1.1340663902219696
Michael-p3,5,3,50,611.277639,611.279349,1,9,0.0,0.0,0,2,2.0,True,7,7,2,2,3,2,1.1340663902219696
Michael-p4,3,1,60,637.48698,637.48698,1,12,0.0,0.0,3,4,3.0,True,5,5,1,1,1,2,-0.32239082476890685
Michael-p4,0,2,54,494.455618,494.455618,2,7,0.0,0.0,5,4,4.0,True,5,5,1,1,1,2,-0.32239082476890685
Michael-p4,4,3,41,397.542109,397.542975,1,4,0.0,0.0,2,3,4.0,True,5,5,1,1,1,2,-0.32239082476890685
Michael-p5,4,1,37,484.727179,484.727179,2,6,0.0,0.0,2,4,3.0,True,7,7,2,1,1,1,0.05804998695407976
Michael-p5,5,2,39,523.446024,523.446024,1,6,0.0,0.0,3,4,4.0,True,7,7,2,1,1,1,0.05804998695407976
Michael-p5,3,3,56,621.944016,621.944554,1,8,0.0,0.0,6,4,4.0,True,7,7,2,1,1,1,0.05804998695407976
Michael-p6,5,1,38,382.046811,382.046811,1,12,0.0,0.0,0,4,4.0,True,9,9,3,3,3,3,2.3230405243777175
Michael-p6,1,2,35,371.956735,371.956735,1,20,0.0,0.0,0,3,3.0,True,9,9,3,3,3,3,2.3230405243777175
Michael-p6,3,3,33,450.384844,450.385829,1,8,0.0,0.0,0,4,4.0,True,9,9,3,3,3,3,2.3230405243777175
Michael-p7,0,1,42,675.072204,675.072204,1,4,0.0,0.0,0,3,3.0,True,3,3,1,1,2,2,-0.45560028310516054
Michael-p7,1,2,51,541.099249,541.099249,1,27,0.0,0.0,0,3,4.0,True,3,3,1,1,2,2,-0.45560028310516054
Michael-p7,2,3,27,265.942845,265.943632,1,6,0.0,0.0,0,2,2.0,True,3,3,1,1,2,2,-0.45560028310516054
Michael-p8,2,1,41,418.680358,418.680358,1,2,0.0,0.0,0,3,2.0,True,3,5,1,2,1,2,-0.20453793617743804
Michael-p8,3,2,52,603.470177,603.470177,3,6,0.0,0.0,3,4,4.0,True,3,5,1,2,1,2,-0.20453793617743804
Michael-p8,5,3,43,435.268428,435.269449,1,5,0.0,0.0,0,3,3.0,True,3,5,1,2,1,2,-0.20453793617743804
Michael-p9,4,1,133,1233.564577,1233.564577,1,46,0.0,0.0,25,1,1.0,True,3,5,0,3,1,3,0.10065707164526153
Michael-p9,1,2,68,723.294193,723.294193,1,33,0.0,0.0,9,3,3.0,True,3,5,0,3,1,3,0.10065707164526153
Michael-p9,2,3,33,302.20568,302.20568,0,15,0.15,0.26,2,2,,False,3,5,0,3,1,3,0.10065707164526153
