restarts,conflicts,decisions,propagations,puzzle_id,solving_time,nvars_input,nclauses_input,nvars_solver,nclauses_solver
1,3,7,380,661,1.17,323,1264,323,1017
1,7,32,688,662,1.23,311,1249,311,1152
1,4,15,415,663,1.45,311,1186,311,1095
1,11,30,1068,664,1.4,323,1265,323,1265
1,4,13,485,665,1.17,308,1208,308,1208
1,6,25,502,666,1.16,313,1274,313,1274
1,3,12,627,667,1.18,331,1256,331,1187
1,8,20,665,668,2.41,313,1271,313,1271
1,2,18,501,669,1.2,325,1231,325,1231
1,7,18,660,670,1.23,319,1270,319,865
1,1,4,324,671,1.19,321,1215,321,224
1,4,23,664,672,1.21,321,1304,321,1304
1,1,6,332,673,1.34,311,1206,311,187
1,11,44,1286,674,1.8,325,1311,325,1311
1,8,19,499,675,1.23,321,1286,321,1008
1,8,20,885,676,1.32,321,1256,321,1256
1,2,6,368,677,1.52,322,1261,322,870
1,2,5,318,678,2.46,300,1153,300,545
1,1,8,386,679,2.68,317,1212,317,721
1,3,11,433,680,1.97,320,1294,320,1294
1,5,17,461,681,2.32,323,1237,323,1083
1,2,7,376,682,2.16,322,1175,322,1088
1,2,7,488,683,1.74,320,1239,320,1239
1,7,16,693,684,1.43,310,1254,310,1103
1,3,12,332,685,1.91,320,1237,320,1168
1,9,18,632,686,1.74,324,1296,324,1296
1,2,7,458,687,1.47,317,1239,317,689
1,3,7,428,688,1.28,321,1263,321,1178
1,0,7,323,689,1.29,322,1288,322,572
1,2,7,386,690,1.11,302,1120,302,840
1,3,9,373,691,1.42,325,1295,325,1295
1,7,22,634,692,1.27,318,1300,318,1112
1,13,38,834,693,1.24,321,1232,321,1086
1,7,21,823,694,1.16,301,1194,301,1194
1,5,22,381,695,1.24,319,1349,319,1137
1,18,53,1348,696,1.41,306,1287,306,1287
1,3,13,373,697,1.2,302,1195,302,1016
1,12,32,698,698,1.24,321,1248,321,1248
1,0,3,295,699,1.08,294,1160,294,36
1,0,4,318,700,1.25,317,1320,317,93
1,3,14,378,701,1.24,316,1271,316,845
1,2,10,358,702,1.22,326,1271,326,911
1,5,15,649,703,1.09,300,1154,300,993
1,0,2,301,704,1.05,300,1173,300,0
1,9,22,822,705,1.21,322,1287,322,1287
1,0,2,305,706,1.45,304,1179,304,0
1,9,50,703,707,1.19,330,1266,330,1266
1,10,36,1058,708,1.2,331,1280,331,1280
1,12,54,1142,709,1.2,324,1311,324,1228
1,4,11,478,710,1.12,309,1282,309,513
1,10,22,957,711,1.14,330,1267,330,1267
1,8,28,777,712,1.08,312,1201,312,1201
1,12,31,971,713,1.1,308,1207,308,1207
1,1,16,399,714,1.13,317,1303,317,1219
1,2,7,341,715,1.11,317,1217,317,149
1,3,13,364,716,1.15,314,1258,314,666
1,9,23,600,717,1.14,326,1288,326,1288
1,5,13,604,718,1.06,310,1208,310,1025
1,1,7,335,719,1.11,312,1239,312,209
1,2,14,337,720,1.11,324,1280,324,1097
1,1,12,320,721,1.19,317,1295,317,1196
1,1,4,320,722,1.14,316,1301,316,868
1,15,48,1227,723,1.13,319,1224,319,1224
1,5,16,538,724,1.08,332,1239,332,1239
1,3,10,543,725,1.07,310,1206,310,599
1,20,54,1762,726,1.28,330,1309,330,1309
1,17,33,1237,727,1.19,327,1299,327,1299
1,0,3,316,728,1.09,315,1217,315,510
1,31,87,2654,729,1.28,336,1293,336,1293
1,1,4,297,730,1.03,293,1198,293,9
1,23,59,1703,731,1.26,316,1246,316,1246
1,4,10,463,732,1.04,319,1161,319,1161
1,4,13,421,733,1.07,305,1262,305,1262
1,1,4,302,734,1.12,298,1262,298,9
1,5,26,625,735,1.08,317,1255,317,1255
1,1,4,324,736,1.1,320,1255,320,9
1,2,11,335,737,1.05,304,1225,304,145
1,7,30,726,738,1.17,306,1260,306,646
1,8,25,578,739,1.09,298,1244,298,1042
1,1,6,587,740,1.03,298,1177,298,1177
1,8,22,865,741,2.07,325,1339,325,1066
1,7,24,747,742,1.15,315,1224,315,1224
1,1,9,448,743,1.04,315,1177,315,1177
1,4,10,323,744,1.12,314,1193,314,601
1,6,26,974,745,1.18,309,1218,309,1218
1,3,12,470,746,1.09,313,1210,313,533
1,2,12,589,747,1.09,308,1215,308,1215
1,5,23,629,748,1.12,331,1253,331,1253
1,17,53,1325,749,1.21,302,1274,302,976
1,0,3,305,750,1.18,304,1237,304,28
1,6,32,637,751,1.12,312,1253,312,1022
1,1,10,336,752,1.08,322,1236,322,488
1,1,9,312,753,1.11,309,1271,309,155
1,1,7,579,754,1.09,308,1265,308,1157
1,5,15,642,755,1.06,315,1223,315,1104
1,10,31,800,756,1.12,315,1259,315,997
1,12,39,753,757,1.07,309,1232,309,1149
1,1,4,313,758,1.05,309,1194,309,9
1,6,25,772,759,1.11,318,1245,318,1245
1,13,33,1027,760,1.18,330,1291,330,1291
1,7,22,456,761,1.15,312,1320,312,1261
1,21,39,1161,762,1.16,312,1237,312,797
1,4,13,401,763,1.24,325,1295,325,1235
1,0,2,314,764,1.03,313,1229,313,0
1,3,15,336,765,1.17,317,1292,317,1292
1,6,12,381,766,1.14,322,1292,322,231
1,1,5,315,767,1.07,312,1221,312,574
1,12,25,594,768,1.11,309,1279,309,1119
1,8,34,884,769,1.14,315,1280,315,1140
1,8,26,581,770,1.09,311,1222,311,688
1,26,65,2061,771,1.2,300,1242,300,1242
1,0,2,327,772,1.13,326,1259,326,0
1,3,12,391,773,1.05,304,1222,304,1222
1,3,10,367,774,1.14,324,1245,324,722
1,5,30,995,775,1.12,332,1289,332,1136
1,8,15,612,776,1.35,319,1241,319,1241
1,4,14,547,777,1.11,328,1271,328,1271
1,11,23,699,778,1.28,320,1297,320,589
1,1,7,351,779,1.29,317,1249,317,590
1,1,6,332,780,1.46,320,1298,320,758
1,7,25,577,781,1.12,314,1282,314,880
1,2,13,490,782,1.17,330,1230,330,1230
1,10,21,625,783,1.1,306,1224,306,1033
1,2,12,422,784,1.07,313,1223,313,1223
1,8,25,627,785,1.59,326,1222,326,1222
1,5,16,500,786,1.45,313,1188,313,1188
1,0,2,330,787,1.28,329,1283,329,0
1,1,5,304,788,1.89,301,1244,301,191
1,3,8,331,789,1.44,308,1223,308,292
1,6,12,526,790,1.29,328,1285,328,1285
1,1,8,316,791,1.19,297,1207,297,918
1,7,16,470,792,1.15,297,1169,297,1001
1,11,60,1027,793,1.47,303,1227,303,1142
1,1,4,326,794,1.2,322,1174,322,9
1,2,7,408,795,1.28,311,1296,311,1296
1,4,11,469,796,1.31,324,1230,324,841
1,12,26,643,797,1.79,304,1227,304,1227
1,5,24,547,798,1.4,317,1278,317,1278
1,12,43,765,799,2.14,312,1206,312,1075
1,6,16,540,800,2.08,331,1221,331,1221
1,0,2,313,801,1.41,312,1262,312,0
1,20,76,1185,802,1.47,321,1297,321,1038
